# Результаты сопоставления станций метро ЦИАН ↔ БД
# Обработка дублирующихся названий станций с учетом line_id
# Пример: "Перово" на линии 9 → cian_id=90, на линии 36 → cian_id=474
# Автоматический выбор при разнице line_id ≤ 5 с предупреждением
# Ручное исправление: Зеленоград-Крюково (линия 36) → cian_id=455
line_id,name,cian_id,mapping_status
1,Бульвар Рокоссовского,137,Сопоставлено
1,Воробьёвы горы,33,Сопоставлено
1,Проспект Вернадского,102,Сопоставлено
1,Юго-Западная,156,Сопоставлено
1,Черкизовская,146,Сопоставлено
1,Красносельская,53,Сопоставлено
1,Комсомольская,50,Сопоставлено
1,Красные Ворота,54,Сопоставлено
1,Лубянка,64,Сопоставлено
1,Охотный Ряд,84,Сопоставлено
1,Библиотека им. Ленина,18,Сопоставлено
1,Кропоткинская,56,Сопоставлено
1,Спортивная,118,Сопоставлено
1,Университет,140,Сопоставлено
1,Тропарёво,281,Сопоставлено
1,Румянцево,284,Сопоставлено
1,Филатов Луг,377,Сопоставлено
1,Прокшино,378,Сопоставлено
1,Ольховая,379,Сопоставлено
1,Новомосковская,380,Сопоставлено
1,Потапово,538,Сопоставлено
1,Преображенская площадь,100,Сопоставлено
1,Сокольники,117,Сопоставлено
1,Чистые пруды,149,Сопоставлено
1,Парк культуры,86,Сопоставлено
1,Фрунзенская,143,Сопоставлено
1,Саларьево,285,Сопоставлено
2,Речной вокзал,106,Сопоставлено
2,Ховрино,349,Сопоставлено
2,Сокол,116,Сопоставлено
2,Аэропорт,9,Сопоставлено
2,Динамо,36,Сопоставлено
2,Маяковская,68,Сопоставлено
2,Тверская,124,Сопоставлено
2,Новокузнецкая,77,Сопоставлено
2,Павелецкая,85,Сопоставлено
2,Автозаводская,2,Сопоставлено
2,Технопарк,283,Сопоставлено
2,Каширская,45,Сопоставлено
2,Кантемировская,43,Сопоставлено
2,Царицыно,144,Сопоставлено
2,Орехово,82,Сопоставлено
2,Домодедовская,39,Сопоставлено
2,Алма-Атинская,245,Сопоставлено
2,Войковская,30,Сопоставлено
2,Белорусская,15,Сопоставлено
2,Водный стадион,29,Сопоставлено
2,Беломорская,369,Сопоставлено
2,Театральная,125,Сопоставлено
2,Коломенская,49,Сопоставлено
2,Красногвардейская,52,Сопоставлено
3,Славянский бульвар,229,Сопоставлено
3,Митино,235,Сопоставлено
3,Волоколамская,234,Сопоставлено
3,Мякинино,233,Сопоставлено
3,Строгино,228,Сопоставлено
3,Молодёжная,72,Сопоставлено
3,Киевская,46,Сопоставлено
3,Смоленская,115,Сопоставлено
3,Арбатская,8,Сопоставлено
3,Курская,61,Сопоставлено
3,Бауманская,13,Сопоставлено
3,Электрозаводская,155,Сопоставлено
3,Семёновская,113,Сопоставлено
3,Измайловская,41,Сопоставлено
3,Первомайская,89,Сопоставлено
3,Щёлковская,153,Сопоставлено
3,Крылатское,57,Сопоставлено
3,Парк Победы,87,Сопоставлено
3,Пятницкое шоссе,244,Сопоставлено
3,Кунцевская,60,Сопоставлено
3,Площадь Революции,96,Сопоставлено
3,Партизанская,88,Сопоставлено
4,Филёвский парк,141,Сопоставлено
4,Кунцевская,60,Сопоставлено
4,Пионерская,93,Сопоставлено
4,Студенческая,120,Сопоставлено
4,Фили,142,Сопоставлено
4,Киевская,46,Сопоставлено
4,Смоленская,115,Сопоставлено
4,Арбатская,8,Сопоставлено
4,Кутузовская,62,Сопоставлено
4,Багратионовская,11,Сопоставлено
4,Александровский сад,4,Сопоставлено
4,Деловой центр,70,Сопоставлено
4,Москва-Сити,35,Сопоставлено
5,Ленинский проспект,63,Сопоставлено
5,Новые Черёмушки,79,Сопоставлено
5,Октябрьская,80,Сопоставлено
5,Медведково,69,Сопоставлено
5,Бабушкинская,10,Сопоставлено
5,Свиблово,111,Сопоставлено
5,ВДНХ,27,Сопоставлено
5,Алексеевская,5,Сопоставлено
5,Рижская,107,Сопоставлено
5,Сухаревская,121,Сопоставлено
5,Тургеневская,132,Сопоставлено
5,Китай-город,47,Сопоставлено
5,Академическая,3,Сопоставлено
5,Профсоюзная,104,Сопоставлено
5,Калужская,42,Сопоставлено
5,Беляево,16,Сопоставлено
5,Ясенево,158,Сопоставлено
5,Новоясеневская,19,Сопоставлено
5,Тёплый Стан,127,Сопоставлено
5,Проспект Мира,103,Сопоставлено
5,Ботанический сад,21,Сопоставлено
5,Шаболовская,151,Сопоставлено
5,Коньково,51,Сопоставлено
5,Третьяковская,129,Сопоставлено
6,Парк культуры,86,Сопоставлено
6,Белорусская,15,Сопоставлено
6,Киевская,46,Сопоставлено
6,Курская,61,Сопоставлено
6,Проспект Мира,103,Сопоставлено
6,Новослободская,78,Сопоставлено
6,Октябрьская,80,Сопоставлено
6,Добрынинская,38,Сопоставлено
6,Павелецкая,85,Сопоставлено
6,Краснопресненская,159,Сопоставлено
6,Комсомольская,50,Сопоставлено
6,Таганская,123,Сопоставлено
7,Алтуфьево,6,Сопоставлено
7,Бибирево,17,Сопоставлено
7,Владыкино,28,Сопоставлено
7,Петровско-Разумовская,91,Сопоставлено
7,Тимирязевская,128,Сопоставлено
7,Менделеевская,71,Сопоставлено
