line_id,line_name,station_id,station_name
4,Калининско-Солнцевская,1,Авиамоторная
4,Калининско-Солнцевская,66,Марксистская
4,Калининско-Солнцевская,76,Новогиреево
4,Калининско-Солнцевская,87,Парк Победы
4,Калининско-Солнцевская,90,Перово
4,Калининско-Солнцевская,95,Площадь Ильича
4,Калининско-Солнцевская,129,Третьяковская
4,Калининско-Солнцевская,152,Шоссе Энтузиастов
4,Калининско-Солнцевская,243,Новокосино
4,Калининско-Солнцевская,337,Минская
4,Калининско-Солнцевская,338,Ломоносовский проспект
4,Калининско-Солнцевская,339,Раменки
4,Калининско-Солнцевская,361,Мичуринский проспект
4,Калининско-Солнцевская,362,Озёрная
4,Калининско-Солнцевская,363,Говорово
4,Калининско-Солнцевская,364,Солнцево
4,Калининско-Солнцевская,365,Боровское шоссе
4,Калининско-Солнцевская,366,Новопеределкино
4,Калининско-Солнцевская,367,Рассказовка
4,Калининско-Солнцевская,535,Аэропорт Внуково
4,Калининско-Солнцевская,536,Пыхтино
28,Некрасовская,1,Авиамоторная
28,Некрасовская,155,Электрозаводская
28,Некрасовская,303,Нижегородская
28,Некрасовская,370,Косино
28,Некрасовская,371,Улица Дмитриевского
28,Некрасовская,372,Лухмановская
28,Некрасовская,373,Некрасовка
28,Некрасовская,374,Юго-Восточная
28,Некрасовская,375,Окская
28,Некрасовская,376,Стахановская
28,Некрасовская,381,Лефортово
3,Замоскворецкая,2,Автозаводская
3,Замоскворецкая,9,Аэропорт
3,Замоскворецкая,15,Белорусская
3,Замоскворецкая,29,Водный стадион
3,Замоскворецкая,30,Войковская
3,Замоскворецкая,36,Динамо
3,Замоскворецкая,39,Домодедовская
3,Замоскворецкая,43,Кантемировская
3,Замоскворецкая,45,Каширская
3,Замоскворецкая,49,Коломенская
3,Замоскворецкая,52,Красногвардейская
3,Замоскворецкая,68,Маяковская
3,Замоскворецкая,77,Новокузнецкая
3,Замоскворецкая,82,Орехово
3,Замоскворецкая,85,Павелецкая
3,Замоскворецкая,106,Речной вокзал
3,Замоскворецкая,116,Сокол
3,Замоскворецкая,124,Тверская
3,Замоскворецкая,125,Театральная
3,Замоскворецкая,144,Царицыно
3,Замоскворецкая,245,Алма-Атинская
3,Замоскворецкая,283,Технопарк
3,Замоскворецкая,349,Ховрино
3,Замоскворецкая,369,Беломорская
22,Московское центральное кольцо,2,Автозаводская
22,Московское центральное кольцо,21,Ботанический сад
22,Московское центральное кольцо,28,Владыкино
22,Московское центральное кольцо,40,Дубровка
22,Московское центральное кольцо,62,Кутузовская
22,Московское центральное кольцо,137,Бульвар Рокоссовского
22,Московское центральное кольцо,152,Шоссе Энтузиастов
22,Московское центральное кольцо,272,Деловой центр
22,Московское центральное кольцо,289,Хорошёво
22,Московское центральное кольцо,290,Зорге
22,Московское центральное кольцо,291,Панфиловская
22,Московское центральное кольцо,292,Стрешнево
22,Московское центральное кольцо,293,Балтийская
22,Московское центральное кольцо,294,Коптево
22,Московское центральное кольцо,295,Лихоборы
22,Московское центральное кольцо,296,Окружная
22,Московское центральное кольцо,297,Ростокино
22,Московское центральное кольцо,298,Белокаменная
22,Московское центральное кольцо,299,Локомотив
22,Московское центральное кольцо,300,Измайлово
22,Московское центральное кольцо,301,Соколиная гора
22,Московское центральное кольцо,302,Андроновка
22,Московское центральное кольцо,303,Нижегородская
22,Московское центральное кольцо,304,Новохохловская
22,Московское центральное кольцо,305,Угрешская
22,Московское центральное кольцо,306,ЗИЛ
22,Московское центральное кольцо,307,Верхние котлы
22,Московское центральное кольцо,308,Крымская
22,Московское центральное кольцо,309,Площадь Гагарина
22,Московское центральное кольцо,310,Лужники
